,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG
0,2659,316030904,2019-01-01 19:56:02,49.4387,-123.3776,7.0,168.7
1,2670,316030904,2019-01-01 19:58:31,49.43408,-123.37573,7.0,148.3
2,2697,316030904,2019-01-01 20:03:01,49.42932,-123.36582,6.8,96.9
3,2710,316030904,2019-01-01 20:04:03,49.42886,-123.36296,6.8,105.8
5,2749,316030904,2019-01-01 20:08:00,49.42729,-123.35179,6.8,102.1
4,2747,316030904,2019-01-01 20:11:00,49.42433,-123.34454,6.6,117.3
6,2775,316030904,2019-01-01 20:15:31,49.42261,-123.33227,6.7,98.5
7,2787,316030904,2019-01-01 20:18:00,49.42176,-123.32538,6.6,99.4
8,2798,316030904,2019-01-01 20:20:00,49.42109,-123.31997,6.1,98.8
9,2812,316030904,2019-01-01 20:23:00,49.42025,-123.31162,6.8,100.9
10,2826,316030904,2019-01-01 20:25:30,49.41726,-123.3069,7.6,172.5
11,2834,316030904,2019-01-01 20:26:31,49.41515,-123.30636,7.5,170.0
12,2838,316030904,2019-01-01 20:28:00,49.41207,-123.30553,7.6,172.4
13,2850,316030904,2019-01-01 20:29:30,49.40894,-123.30477,7.6,170.2
14,2862,316030904,2019-01-01 20:32:02,49.40365,-123.30354,7.8,170.9
15,2869,316030904,2019-01-01 20:33:30,49.40051,-123.30279,7.7,169.8
16,2873,316030904,2019-01-01 20:36:00,49.39528,-123.30163,7.6,171.5
17,2880,316030904,2019-01-01 20:37:01,49.39315,-123.30119,7.6,170.4
18,2889,316030904,2019-01-01 20:39:00,49.38894,-123.30029,7.7,175.4
19,2896,316030904,2019-01-01 20:41:30,49.38363,-123.29943,7.9,175.5
20,2901,316030904,2019-01-01 20:42:32,49.38132,-123.29896,7.9,174.9
21,2908,316030904,2019-01-01 20:45:00,49.37598,-123.29763,7.9,171.1
22,2919,316030904,2019-01-01 20:46:30,49.37273,-123.29673,7.9,170.8
23,2925,316030904,2019-01-01 20:49:00,49.36726,-123.29506,8.1,165.2
24,2931,316030904,2019-01-01 20:50:30,49.36401,-123.2939,7.5,164.4
25,2938,316030904,2019-01-01 20:52:31,49.36059,-123.29124,6.8,148.4
26,2944,316030904,2019-01-01 20:54:30,49.35772,-123.2876,6.9,131.4
27,2950,316030904,2019-01-01 20:55:31,49.35648,-123.28524,6.9,131.5
28,2960,316030904,2019-01-01 20:57:31,49.35419,-123.28064,6.8,118.3
29,2967,316030904,2019-01-01 20:59:30,49.35485,-123.27585,4.6,62.5
30,2974,316030904,2019-01-01 21:01:30,49.35565,-123.27359,3.0,91.3
31,2977,316030904,2019-01-01 21:03:00,49.35551,-123.27216,0.6,129.0
