,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG
23,511,257615000,2020-06-01 01:36:13,49.43984,-123.28903,15.2,191.0
24,558,257615000,2020-06-01 01:37:44,49.43353,-123.29084,15.2,191.0
25,580,257615000,2020-06-01 01:38:50,49.42905,-123.29215,15.2,190.9
0,380,257615000,2020-06-01 01:39:57,49.42445,-123.29351,15.1,190.7
1,384,257615000,2020-06-01 01:41:08,49.41949,-123.29497,15.2,191.1
2,386,257615000,2020-06-01 01:42:26,49.41417,-123.29653,15.2,190.9
3,389,257615000,2020-06-01 01:43:32,49.40953,-123.29796,15.2,191.7
4,394,257615000,2020-06-01 01:44:44,49.40454,-123.29925,15.1,187.3
5,397,257615000,2020-06-01 01:45:56,49.39952,-123.30012,15.2,185.6
6,402,257615000,2020-06-01 01:47:08,49.39443,-123.30097,15.3,186.5
7,408,257615000,2020-06-01 01:48:26,49.38891,-123.30182,15.3,183.0
8,412,257615000,2020-06-01 01:49:38,49.38382,-123.30205,15.4,181.8
9,413,257615000,2020-06-01 01:50:44,49.37911,-123.30217,15.3,179.5
10,414,257615000,2020-06-01 01:51:50,49.37449,-123.30171,15.3,172.8
11,417,257615000,2020-06-01 01:52:56,49.36978,-123.30064,15.4,171.0
12,421,257615000,2020-06-01 01:54:08,49.36462,-123.29936,15.6,171.0
13,422,257615000,2020-06-01 01:55:14,49.36002,-123.29815,15.5,168.6
14,425,257615000,2020-06-01 01:56:19,49.35537,-123.29675,15.4,167.7
16,434,257615000,2020-06-01 01:57:26,49.3508,-123.29475,15.3,163.5
15,433,257615000,2020-06-01 01:58:31,49.34636,-123.29274,15.3,163.4
17,435,257615000,2020-06-01 01:59:32,49.3423,-123.29074,15.2,159.7
22,459,257615000,2020-06-01 02:00:09,49.33984,-123.28934,15.3,159.5
18,446,257615000,2020-06-01 02:01:14,49.33582,-123.28597,14.9,147.3
26,665,257615000,2020-06-01 02:02:26,49.33167,-123.28174,14.9,146.9
19,451,257615000,2020-06-01 02:03:31,49.32792,-123.27804,14.7,148.2
20,456,257615000,2020-06-01 02:04:32,49.32459,-123.27473,13.8,141.0
21,457,257615000,2020-06-01 02:05:33,49.32201,-123.27039,13.0,128.1
